"#","Episode","UserRating","UserVotes"
"1.1","Dexter","8.8","5,692"
"1.2","Crocodile","8.4","3,770"
"1.3","Popping Cherry","8.5","3,515"
"1.4","Let's Give the Boy a Hand","8.8","3,444"
"1.5","Love American Style","8.7","3,291"
"1.6","Return to Sender","9.0","3,433"
"1.7","Circle of Friends","8.8","3,204"
"1.8","Shrink Wrap","9.1","3,441"
"1.9","Father Knows Best","8.7","3,119"
"1.10","Seeing Red","9.2","3,559"
"1.11","Truth Be Told","9.3","3,609"
"1.12","Born Free","9.6","5,738"
"2.1","It's Alive!","8.9","3,282"
"2.2","Waiting to Exhale","8.7","2,940"
"2.3","An Inconvenient Lie","8.8","2,900"
"2.4","See-Through","8.6","2,748"
"2.5","The Dark Defender","8.8","2,862"
"2.6","Dex, Lies, and Videotape","8.7","2,778"
"2.7","That Night, a Forest Grew","8.8","2,809"
"2.8","Morning Comes","9.1","2,922"
"2.9","Resistance Is Futile","9.4","3,225"
"2.10","There's Something About Harry","9.0","2,830"
"2.11","Left Turn Ahead","9.1","2,847"
"2.12","The British Invasion","9.3","3,522"
"3.1","Our Father","8.4","2,800"
"3.2","Finding Freebo","8.6","2,582"
"3.3","The Lion Sleeps Tonight","8.3","2,484"
"3.4","All in the Family","8.3","2,448"
"3.5","Turning Biminese","8.6","2,421"
"3.6","Sí se puede","8.4","2,401"
"3.7","Easy as Pie","8.6","2,472"
"3.8","The Damage a Man Can Do","8.7","2,432"
"3.9","About Last Night","8.9","2,475"
"3.10","Go Your Own Way","9.1","2,630"
"3.11","I Had a Dream","8.9","2,487"
"3.12","Do You Take Dexter Morgan?","8.9","2,744"
"4.1","Living the Dream","8.8","2,868"
"4.2","Remains to Be Seen","8.8","2,482"
"4.3","Blinded by the Light","8.4","2,397"
"4.4","Dex Takes a Holiday","9.2","2,846"
"4.5","Dirty Harry","9.0","2,557"
"4.6","If I Had a Hammer","8.8","2,423"
"4.7","Slack Tide","8.6","2,375"
"4.8","Road Kill","8.6","2,380"
"4.9","Hungry Man","9.4","3,459"
"4.10","Lost Boys","9.2","2,823"
"4.11","Hello, Dexter Morgan","9.5","3,750"
"4.12","The Getaway","9.8","8,142"
"5.1","My Bad","9.0","3,305"
"5.2","Hello, Bandit","8.3","2,406"
"5.3","Practically Perfect","8.6","2,352"
"5.4","Beauty and the Beast","8.6","2,347"
"5.5","First Blood","8.2","2,312"
"5.6","Everything Is Illumenated","8.9","2,509"
"5.7","Circle Us","8.6","2,301"
"5.8","Take It!","8.9","2,449"
"5.9","Teenage Wasteland","9.0","2,541"
"5.10","In the Beginning","9.0","2,573"
"5.11","Hop a Freighter","9.0","2,446"
"5.12","The Big One","8.9","3,067"
"6.1","Those Kinds of Things","8.7","3,479"
"6.2","Once Upon a Time...","8.2","2,519"
"6.3","Smokey and the Bandit","8.4","2,406"
"6.4","A Horse of a Different Color","8.6","2,412"
"6.5","The Angel of Death","8.2","2,340"
"6.6","Just Let Go","8.6","2,435"
"6.7","Nebraska","8.0","2,590"
"6.8","Sin of Omission","8.0","2,280"
"6.9","Get Gellar","8.6","2,551"
"6.10","Ricochet Rabbit","8.2","2,281"
"6.11","Talk to the Hand","8.4","2,393"
"6.12","This Is the Way the World Ends","9.2","4,171"
"7.1","Are You...?","9.5","6,421"
"7.2","Sunshine and Frosty Swirl","8.9","3,160"
"7.3","Buck the System","8.8","2,810"
"7.4","Run","8.9","2,891"
"7.5","Swim Deep","8.6","2,551"
"7.6","Do the Wrong Thing","8.4","2,603"
"7.7","Chemistry","8.6","2,561"
"7.8","Argentina","9.0","3,052"
"7.9","Helter Skelter","8.7","2,527"
"7.10","The Dark... Whatever","8.6","2,420"
"7.11","Do You See What I See?","9.0","2,712"
"7.12","Surprise, Motherfucker!","9.3","4,369"
"8.1","A Beautiful Day","8.7","3,979"
"8.2","Every Silver Lining...","8.2","2,714"
"8.3","What's Eating Dexter Morgan?","8.3","2,589"
"8.4","Scar Tissue","8.2","2,603"
"8.5","This Little Piggy","8.1","2,487"
"8.6","A Little Reflection","7.9","2,491"
"8.7","Dress Code","7.7","2,601"
"8.8","Are We There Yet?","8.2","2,830"
"8.9","Make Your Own Kind of Music","7.5","2,788"
"8.10","Goodbye Miami","7.0","3,194"
"8.11","Monkey in a Box","7.3","3,436"
"8.12","Remember the Monsters?","4.8","14,111"
