"#","Episode","UserRating","UserVotes"
"1.1","Pilot","7.1","1,493"
"1.2","Canvassing","7.1","1,260"
"1.3","The Reporter","7.2","1,167"
"1.4","Boys' Club","7.5","1,126"
"1.5","The Banquet","7.4","1,077"
"1.6","Rock Show","7.9","1,104"
"2.1","Pawnee Zoo","8.1","1,129"
"2.2","The Stakeout","8.2","1,078"
"2.3","Beauty Pageant","7.9","1,041"
"2.4","Practice Date","8.4","1,055"
"2.5","Sister City","7.9","1,097"
"2.6","Kaboom","7.8","987"
"2.7","Greg Pikitis","8.4","1,097"
"2.8","Ron and Tammy","8.4","1,083"
"2.9","The Camel","8.1","989"
"2.10","Hunting Trip","8.8","1,196"
"2.11","Tom's Divorce","8.0","968"
"2.12","Christmas Scandal","8.2","964"
"2.13","The Set Up","8.2","972"
"2.14","Leslie's House","8.1","957"
"2.15","Sweetums","8.2","963"
"2.16","Galentine's Day","7.8","951"
"2.17","Woman of the Year","8.1","932"
"2.18","The Possum","8.2","936"
"2.19","Park Safety","8.3","959"
"2.20","Summer Catalog","8.1","924"
"2.21","94 Meetings","8.6","994"
"2.22","Telethon","8.5","961"
"2.23","The Master Plan","8.6","991"
"2.24","Freddy Spaghetti","8.7","983"
"3.1","Go Big or Go Home","8.3","955"
"3.2","Flu Season","9.0","1,219"
"3.3","Time Capsule","8.3","934"
"3.4","Ron & Tammy: Part Two","8.6","995"
"3.5","Media Blitz","8.2","910"
"3.6","Indianapolis","8.2","901"
"3.7","Harvest Festival","8.8","994"
"3.8","Camping","8.2","908"
"3.9","Fancy Party","9.1","1,161"
"3.10","Soulmates","8.6","958"
"3.11","Jerry's Painting","8.8","969"
"3.12","Eagleton","8.4","901"
"3.13","The Fight","8.9","1,150"
"3.14","Road Trip","8.6","927"
"3.15","The Bubble","8.3","867"
"3.16","Li'l Sebastian","8.9","1,009"
"4.1","I'm Leslie Knope","8.3","908"
"4.2","Ron & Tammys","8.8","978"
"4.3","Born & Raised","8.3","863"
"4.4","Pawnee Rangers","8.4","959"
"4.5","Meet 'n' Greet","7.9","827"
"4.6","End of the World","8.6","958"
"4.7","The Treaty","8.2","865"
"4.8","Smallest Park","8.2","847"
"4.9","The Trial of Leslie Knope","8.5","854"
"4.10","Citizen Knope","8.6","860"
"4.11","The Comeback Kid","8.6","937"
"4.12","Campaign Ad","8.5","827"
"4.13","Bowling for Votes","8.8","879"
"4.14","Operation Ann","8.4","821"
"4.15","Dave Returns","8.1","792"
"4.16","Sweet Sixteen","7.9","767"
"4.17","Campaign Shake-Up","8.1","753"
"4.18","Lucky","8.1","765"
"4.19","Live Ammo","8.2","764"
"4.20","The Debate","8.9","924"
"4.21","Bus Tour","8.3","801"
"4.22","Win, Lose, or Draw","9.0","976"
"5.1","Ms. Knope Goes to Washington","8.1","813"
"5.2","Soda Tax","8.1","789"
"5.3","How a Bill Becomes a Law","8.2","781"
"5.4","Sex Education","8.3","796"
"5.5","Halloween Surprise","8.8","924"
"5.6","Ben's Parents","8.0","768"
"5.7","Leslie vs. April","8.0","739"
"5.8","Pawnee Commons","7.9","751"
"5.9","Ron and Diane","9.0","965"
"5.10","Two Parties","8.9","936"
"5.11","Women in Garbage","8.3","764"
"5.12","Ann's Decision","7.9","727"
"5.13","Emergency Response","8.7","778"
"5.14","Leslie and Ben","9.3","1,136"
"5.15","Correspondents' Lunch","8.1","691"
"5.16","Bailout","8.3","725"
"5.17","Partridge","7.8","692"
"5.18","Animal Control","8.5","724"
"5.19","Article Two","8.2","708"
"5.20","Jerry's Retirement","8.2","700"
"5.21","Swing Vote","7.8","663"
"5.22","Are You Better Off?","8.5","706"
"6.1","London: Part 1","8.7","860"
"6.2","London: Part 2","8.7","692"
"6.3","The Pawnee-Eagleton Tip Off Classic","7.9","706"
"6.4","Doppelgängers","8.2","732"
"6.5","Gin It Up!","8.0","683"
"6.6","Filibuster","8.2","686"
"6.7","Recall Vote","7.7","662"
"6.8","Fluoride","7.9","686"
"6.9","The Cones of Dunshire","8.4","701"
"6.10","Second Chunce","7.8","675"
"6.11","New Beginnings","7.8","640"
"6.12","Farmers Market","7.8","664"
"6.13","Ann and Chris","8.9","900"
"6.14","Anniversaries","8.0","661"
"6.15","The Wall","7.9","629"
"6.16","New Slogan","7.7","631"
"6.17","Galentine's Day","7.9","619"
"6.18","Prom","7.9","636"
"6.19","Flu Season 2","8.5","697"
"6.20","One in 8,000","8.3","639"
"6.21","Moving Up: Part 1","9.0","920"
"6.22","Moving Up: Part 2","9.4","1,209"
"7.1","2017","7.9","859"
"7.2","Ron & Jammy","8.4","798"
"7.3","William Henry Harrison","7.7","722"
"7.4","Leslie and Ron","9.6","1,751"
"7.5","Gryzzlbox","8.5","704"
"7.6","Save JJ's","8.3","685"
"7.7","Donna and Joe","8.6","730"
"7.8","Ms. Ludgate-Dwyer Goes to Washington","8.3","706"
"7.9","Pie-Mary","8.6","744"
"7.10","The Johnny Karate Super Awesome Musical Explosion Show","8.5","973"
"7.11","Two Funerals","8.7","739"
"7.12","One Last Ride: Part 1","9.6","1,851"
"7.13","One Last Ride: Part 2","9.7","2,313"
