"#","Episode","UserRating","UserVotes"
"1.0","Unaired Pilot","7.3","99"
"1.1","Cartman Gets an Anal Probe","8.2","2,369"
"1.2","Weight Gain 4000","7.9","1,850"
"1.3","Volcano","8.0","1,744"
"1.4","Big Gay Al's Big Gay Boat Ride","7.8","1,698"
"1.5","An Elephant Makes Love to a Pig","7.8","1,587"
"1.6","Death","8.2","1,631"
"1.7","Pinkeye","8.5","1,699"
"1.8","Starvin' Marvin","8.3","1,633"
"1.9","Mr. Hankey, the Christmas Poo","8.3","1,646"
"1.10","Damien","8.1","1,504"
"1.11","Tom's Rhinoplasty","8.1","1,508"
"1.12","Mecha-Streisand","7.9","1,549"
"1.13","Cartman's Mom Is a Dirty Slut","8.8","1,828"
"2.1","Terrance and Phillip in Not Without My Anus","6.7","1,692"
"2.2","Cartman's Mom is Still a Dirty Slut","8.5","1,575"
"2.3","Chickenlover","8.3","1,474"
"2.4","Ike's Wee Wee","8.2","1,447"
"2.5","Conjoined Fetus Lady","7.9","1,369"
"2.6","The Mexican Staring Frog of Southern Sri Lanka","7.9","1,360"
"2.7","City on the Edge of Forever","7.7","1,356"
"2.8","Summer Sucks","7.7","1,283"
"2.9","Chef's Salty Chocolate Balls","7.8","1,324"
"2.10","Chickenpox","8.2","1,292"
"2.11","Roger Ebert Should Lay Off the Fatty Foods","7.8","1,277"
"2.12","Clubhouses","8.1","1,262"
"2.13","Cow Days","7.8","1,248"
"2.14","Chef Aid","8.0","1,304"
"2.15","Spookyfish","8.7","1,485"
"2.16","Merry Christmas Charlie Manson!","8.2","1,334"
"2.17","Gnomes","8.5","1,430"
"2.18","Prehistoric Ice Man","8.1","1,309"
"3.1","Rainforest Shmainforest","8.5","1,616"
"3.2","Spontaneous Combustion","8.3","1,339"
"3.3","The Succubus","8.1","1,376"
"3.4","Jakovasaurs","6.7","1,398"
"3.5","Tweek vs. Craig","7.8","1,323"
"3.6","Sexual Harassment Panda","8.4","1,443"
"3.7","Cat Orgy","8.1","1,338"
"3.8","Two Guys Naked in a Hot Tub","8.2","1,287"
"3.9","Jewbilee","7.6","1,216"
"3.10","Korn's Groovy Pirate Ghost Mystery","8.0","1,409"
"3.11","Chinpokomon","8.8","1,650"
"3.12","Hooked on Monkey Fonics","8.1","1,237"
"3.13","Starvin' Marvin in Space","8.2","1,233"
"3.14","The Red Badge of Gayness","8.4","1,314"
"3.15","Mr. Hankey's Christmas Classics","7.4","1,303"
"3.16","Are You There God? It's Me, Jesus","8.0","1,207"
"3.17","World Wide Recorder Concert","8.2","1,202"
"4.1","The Tooth Fairy's Tats 2000","8.3","1,301"
"4.2","Cartman's Silly Hate Crime 2000","8.7","1,412"
"4.3","Timmy 2000","8.3","1,294"
"4.4","Quintuplets 2000","7.5","1,185"
"4.5","Cartman Joins NAMBLA","9.1","1,865"
"4.6","Cherokee Hair Tampons","8.2","1,216"
"4.7","Chef Goes Nanners","8.3","1,231"
"4.8","Something You Can Do with Your Finger","8.2","1,280"
"4.9","Do the Handicapped Go to Hell?","8.4","1,299"
"4.10","Probably","8.4","1,227"
"4.11","4th Grade","8.2","1,223"
"4.12","Trapper Keeper","8.2","1,253"
"4.13","Helen Keller! The Musical","8.0","1,180"
"4.14","Pip","7.0","1,328"
"4.15","Fat Camp","8.6","1,417"
"4.16","The Wacky Molestation Adventure","8.8","1,555"
"4.17","A Very Crappy Christmas","7.6","1,134"
"5.1","It Hits the Fan","8.5","1,453"
"5.2","Cripple Fight","8.4","1,384"
"5.3","Super Best Friends","8.4","1,320"
"5.4","Scott Tenorman Must Die","9.6","5,064"
"5.5","Terrance and Phillip: Behind the Blow","7.2","1,210"
"5.6","Cartmanland","8.9","1,859"
"5.7","Proper Condom Use","8.6","1,419"
"5.8","Towelie","8.5","1,554"
"5.9","Osama Bin Laden Has Farty Pants","8.0","1,440"
"5.10","How to Eat with Your Butt","8.1","1,335"
"5.11","The Entity","8.3","1,282"
"5.12","Here Comes the Neighborhood","8.2","1,282"
"5.13","Kenny Dies","8.9","1,809"
"5.14","Butters' Very Own Episode","8.9","1,937"
"6.1","Jared Has Aides","8.2","1,314"
"6.2","Asspen","8.4","1,512"
"6.3","Freak Strike","8.1","1,250"
"6.4","Fun with Veal","8.1","1,238"
"6.5","The New Terrance and Phillip Movie Trailer","8.2","1,397"
"6.6","Professor Chaos","8.6","1,432"
"6.7","The Simpsons Already Did It","8.9","1,920"
"6.8","Red Hot Catholic Love","8.3","1,392"
"6.9","Free Hat","8.4","1,383"
"6.10","Bebe's Boobs Destroy Society","8.3","1,391"
"6.11","Child Abduction Is Not Funny","8.6","1,404"
"6.12","A Ladder to Heaven","8.8","1,585"
"6.13","The Return of the Fellowship of the Ring to the Two Towers","9.3","2,789"
"6.14","The Death Camp of Tolerance","8.8","1,573"
"6.15","The Biggest Douche in the Universe","8.7","1,558"
"6.16","My Future Self n' Me","8.6","1,416"
"6.17","Red Sleigh Down","8.1","1,278"
"7.1","Cancelled","8.5","1,487"
"7.2","Krazy Kripples","8.2","1,344"
"7.3","Toilet Paper","8.4","1,348"
"7.4","I'm a Little Bit Country","8.2","1,299"
"7.5","Fat Butt and Pancake Head","8.5","1,539"
"7.6","Lil' Crime Stoppers","8.6","1,377"
"7.7","Red Man's Greed","7.7","1,198"
"7.8","South Park Is Gay","8.3","1,407"
"7.9","Christian Rock Hard","9.1","2,027"
"7.10","Grey Dawn","8.3","1,266"
"7.11","Casa Bonita","9.2","2,189"
"7.12","All About Mormons","8.9","1,904"
